agr;site_type;numero_de_site;hopital;site;adresse;post;commune;telefon;website;langue;region;province;region_hospitalier;type_hopital;statut;a;a1;a2;c;cd;d;e;g;ib_ptca_adultes;k;k1;k2;l;m;nic;s1;s2;s3;s4;s5;s6;t;t1;t2;tfb;tfp;tg;total_lits;capacite-fusion;remarques;officine_hospitaliere;imagerie_medicale_avec_scanner;tomographe_a_resonance_magnetique_rmn;scanner-pet;radiotherapie;centre_de_dialyse;programme_de_soins_pathologie_cardiaque_a;programme_de_soins_pathologie_cardiaque_b3;programme_de_soins_pathologie_cardiaque_b1-b2;programme_de_soins_pathologie_cardiaque_c;programme_de_soins_pathologie_cardiaque_e;programme_de_soins_pathologie_cardiaque_p;programme_de_soins_pathologie_cardiaque_t;collaboration_ou_association_concernant_programme_de_soins_pathologie_cardiaque;programme_de_soins_de_base_soins_de_l_avc;programme_de_soins_specialise_soins_de_l_avc_impliquant_des_procedures_invasives;programme_de_soins_medecine_de_la_reproduction_type_a;programme_de_soins_medecine_de_la_reproduction_type_b;association_concernant_du_programme_de_soins_medecine_de_la_reproduction;programme_de_soins_d_oncologie;programme_de_soins_de_base_en_oncologie;programme_coordinateur_de_soins_oncologiques_specialise_pour_le_cancer_du_sein;programme_de_soins_oncologiques_specialise_pour_le_cancer_du_sein_clinique_du_sein_satellite;programme_de_soins_oncologiques_specialise_pour_le_cancer_du_sein;programme_de_soins_pour_enfants;programme_de_soins_pour_le_patient_geriatrique_service_de_gériatrique;programme_de_soins_pour_le_patient_geriatrique_consultation_gériatrique;programme_de_soins_pour_le_patient_geriatrique_l_hôpital_de_jour_pour_le_patient_gériatrique;programme_de_soins_pour_le_patient_geriatrique_liaison_interne;programme_de_soins_pour_le_patient_geriatrique_liaison_externe;soins_intensifs;soins_neonatals_locaux_nx;soins_perinatals_regionaux;liaison_pediatrique;urgences;smur;banque_de_sang_hospitaliere;soins_palliatifs;hospitalisation_chirurgical_de_jour;hospitalisation_non_chirurgical_de_jour;coordination_locale_des_donateurs;fonction_de_mediateur;centre_de_transplantation;centre_pour_la_reproduction_humaine;centre_de_traitement_de_grands_brules;centre_d_expertise_pour_les_patients_comateux;centre_de_la_mucoviscidose;service_anatomopathologie
009;SS;3360;ZIEKENHUISNETWERK ANTWERPEN;ZNA JAN PALFIJN;LANGE BREMSTRAAT 70;2170;MERKSEM;03/640.21.11;;N;V;Antwerpen;Antwerpen;;;;;;120;;90;22;58;;;;;;24;;;;;;;24;;;;;;;338;;;;Medische Beeldvorming met scanner;;;;;X;;;;;X;;;;;;;;Zorgprogramma oncologie;;;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Associatie mbt. de gezamelijke exploitatie van de functie Mobiele Urgentiegroep (MUG) via alternerende werking met A.Z. Klina te Brasschaat;Ziekenhuisbloedbank;;Chirurgische daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
010;SP;3100;GRAND HOPITAL DE CHARLEROI;NOTRE DAME;GRAND'RUE 3;6000;CHARLEROI;071/10.21.11;www.ghdc.be;F;W;Hainaut;Charleroi;Hôpital général;Privé;30;;;155;6;108;39;;;;;;;69;18;;;;;;;;;;;;;425;1124;;Officine Hospitaliere;Imagerie médicale avec scanner;X (2) en association avec Clinique Notre-Dame de Grâce à Gosselies (409);;;;X;;;;;X;;;;;;X;;Programme de soins d'oncologie;;;;;Programme de soins pour enfants;;;;;;Soins Intensifs;Soins néonatals locaux ;Soins Périnatals Régionaux;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR) exploité en alternance avec C.H.U. de Charleroi (site Charleroi);Banque de sang hospitalière;Soins Palliatifs;Hospitalisation Chirurgicale de Jour;;;;;;;;;
010;SS;3170;GRAND HOPITAL DE CHARLEROI;ST. JOSEPH;RUE DE LA DUCHERE 6;6060;GILLY;071/10.70.11;;F;W;Hainaut;Charleroi;;;;;;79;21;194;;;;;;;;;;;;;;;;;;;;;;294;;;;Imagerie médicale avec scanner ;X (1);;Radiothérapie;Centre de dialyse;;X;;;X;X;;;;;;;;;Programme de soins de base en oncologie;Programme coordinateur de soins oncologiques spécialisé pour le cancer du sein ;;;;;;;;;Soins Intensifs;;;;Soins Urgents Spécialisés;;Banque de sang hospitalière;;Hospitalisation Chirurgicale de jour;;Coordination locale des donneurs;;;;;;;
010;SS;3180;GRAND HOPITAL DE CHARLEROI;I.M.T.R.;RUE DE VILLERS 1;6280;LOVERVAL;071/10.63.11;;F;W;Hainaut;Charleroi;;;;;;71;;;;32;;;;;;;;;50;;12;;;;;;;;;165;;;;Imagerie médicale avec scanner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Soins Urgents Spécialisés;;;;Hospitalisation chirurgicale de jour;;;;;;Centre de traitement de grands brûlés;;;
010;SS;3190;GRAND HOPITAL DE CHARLEROI;STE.-THERESE;RUE TRIEU KAISIN 134;6061;MONTIGNIES-SUR-SAMBRE;071/10.90.11;;F;W;Hainaut;Charleroi;;;63;15;;;27;;;105;;;;;;;;;;;;;30;;;;;;;240;;;;Imagerie médicale avec scanner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hospitalisation chirurgicale de jour;;;;;;;;;
012;SP;3460;ALGEMEEN ZIEKENHUIS ST. BLASIUS;ST. BLASIUS;KROONVELDLAAN 50;9200;DENDERMONDE;052/25.20.11;www.azsintblasius.be;N;V;Oost-Vlaanderen;Dendermonde;Algemeen ziekenhuis;Privaat;30;8;;119;;100;26;48;;;;;;48;;;;;;;;;;;;;;379;438;;Ziekenhuisapotheek;Medische Beeldvorming met scanner (2);X (1);;;Dialysecentrum;X;;;;;X;;;;;;;;Zorgprogramma oncologie;;Coördinerend gespecialiseerd oncologisch zorgprogramma voor borstkanker;;;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
012;SS;3470;ALGEMEEN ZIEKENHUIS ST. BLASIUS;GERIATRIE, REVALIDATIE & PALLIATIEVE ZORGEN;KOEVLIET 5;9240;ZELE;052/45.64.00;;N;V;Oost-Vlaanderen;Dendermonde;;;;;;;;;;33;;;;;;;;;20;;6;;;;;;;;;59;;;;;;;;;;;;;;;;;;;;;;;Zorgprogramma oncologische basiszorg;;;;;dienst voor geriatrie;geriatrisch consult;;;;;;;;;;;;Chirurgische daghospitalisatie;;;;;;;;;
012;SS;3480;ALGEMEEN ZIEKENHUIS ST. BLASIUS;DAGZIEKENHUIS & POLIKLINIEK;KOEVLIET 6;9240;ZELE;052/45.64.00;;N;V;Oost-Vlaanderen;Dendermonde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Medische beeldvorming met scanner (1);;;;;;;;;;;;;;;;;;;Zorgprogramma oncologische basiszorg;;;;;;;;;;;;;;;;;;;Niet- chirurgische daghospitalisatie;;;;;;;;
015;SP;2850;ST.-NIKOLAUS HOSPITAL;;HUFENGASSE 4-8;4700;EUPEN;087/59.95.99;www.st-nikolaushospital-eupen.be;F;W;Lüttich;Verviers;Allgemein krankenhaus;Privé;;;;51;22;50;13;24;;;;;;12;;;20;;;;;;;;;;;192;;;Officine Hospitaliere;Imagerie médicale avec scanner;;;;Centre de dialyse;X;;;;;X;;;;;;;;Programme de soins d'oncolgie;;;;;Programme de soins pour enfants;;;;;;Soins Intensifs;;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR);Bangue de sang hospitalière;Soins Palliatifs;Hospitalisation Chirurgicale de Jour;;;Service de médiation;;;;;;
017;SP;1605;ALGEMEEN ZIEKENHUIS MARIA MIDDELARES;ALGEMEEN ZIEKENHUIS;BUITENRING SINT-DENIJS 30;9000;GENT;09/246.46.46;www.mariamiddelares.be;N;V;Oost-Vlaanderen;Gent - Eeklo;Algemeen ziekenhuis;Privaat;30;;;218;;131;20;84;;;;;;30;;;30;;;;;;;;;;;543;;;Ziekenhuisapotheek;Medische Beeldvorming met scanner (1);X (1);;;Dialysecentrum;X;X;;;X;X;;;;;;;;Zorgprogramma oncologie;;Coördinerend gespecialiseerd oncologisch zorgprogramma voor borstkanker;;;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Associatie met Universitair Ziekenhuis Gent (670);Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
017;SS;1850;ALGEMEEN ZIEKENHUIS MARIA MIDDELARES;MEDISCH CENTRUM;KLINIEKSTRAAT 27;9050;GENTBRUGGE;09/260.60.60;;N;V;Oost-Vlaanderen;Gent - Eeklo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;Medische Beeldvorming met scanner (1);;;;;;;;;;;;;;;;;;;Zorgprogramma oncologische basiszorg;;;;;dienst voor geriatrie;geriatrisch consult;;;;;;;;Eerste opvang van Spoedgevallen;;Ziekenhuisbloedbank;;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
020;SP;3010;CENTRE HOSPITALIER  PELTZER - LA TOURELLE;LA TOURELLE;RUE DU PARC 29;4800;VERVIERS;087/21.21.11;www.chplt.be;F;W;Liège;Verviers;Hôpital général;Public;;;;94;42;135;30;60;;;;;;25;;;;;;;;;;;;;;386;446;;Officine Hospitaliere;Imagerie médicale avec scanner ;X (1);;Radiothérapie;Centre de dialyse;X;;X;;X;X;;Les programmes partiels B1-B2 est utilisé en association avec C.H.U. Sart-Tilman de Liège (707);;;;;;Programme de soins d'oncologie;;Programme coordinateur de soins oncologiques spécialisé pour le cancer du sein ;;;Programme de soins pour enfants;;;;;;Soins Intensifs;Soins néonatals locaux;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR);Banque de sang hospitalière;Soins Palliatifs;;;Coordination locale des donneurs;;;;;;;
020;SS;3020;CENTRE HOSPITALIER  PELTZER - LA TOURELLE;PELTZER;AVENUE PELTZER 36;4800;VERVIERS;087/21.21.11;;F;W;Liège;Verviers;;;;;;;;;;;;;;;;;;;30;30;;;;;;;;;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hospitalisation chirurgical de jour;;;;;;;;;
023;SP;2860;CLINIQUE ANDRE RENARD;;RUE ANDRE RENARD 1;4040;HERSTAL;04/248.72.11;;F;W;Liège;Liège;Hôpital général;Privé;;;;41;28;43;;48;;;;;;;;;;;;;;;;;;;;160;;;Officine Hospitalière;Imagerie médicale avec scanner;;;;;X;;;;;X;;;;;;;;;Programme de soins de base en oncologie;;;;;dienst voor geriatrie;;;;;Soins Intensifs;;;;Soins Urgents Spécialisés;;;Soins Palliatifs;Hospitalisation Chirurgicale de Jour;;Coordination locale des donneurs;;;;;;;
026;SP;1230;ALGEMEEN ZIEKENHUIS ST.- MAARTEN;LEOPOLDSTRAAT;LEOPOLDSTRAAT 2;2800;MECHELEN;015/40.95.11;www.azsintmaarten.be;N;V;Antwerpen;Mechelen;Algemeen ziekenhuis;Privaat;;;;68;;71;;54;;;;;;;;;;;6;;;;;;;;;199;660;;Associatie m.b.t. de gezamelijke exploitatie van de functie ziekenhuisapotheek met het Psychiatrisch Ziekenhuis, Stationsstraat 22C te 2570 Duffel;Medische Beeldvorming met scanner;X (1);;;;X;;;;;;;;;;;;;;Zorgprogramma oncologische basiszorg;;;;;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;;;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG) ;Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
026;SS;1240;ALGEMEEN ZIEKENHUIS ST. -MAARTEN;ROOIENBERG;ROOIENBERG 25;2570;DUFFEL;015/30.31.11;;N;V;Antwerpen;Mechelen;;;;15;;75;;72;;30;;;;;;15;;20;44;;;;;;;;;;;271;;;;Medische Beeldvorming met scanner;;;Radiotherapie;;X;;X;;;X;;Deelprogramma B1-B2 wordt uitgebaat in associatie met Imeldaziekenhuis, Bonheiden (689);;;;;;Zorgprogramma oncologie;;Coördinerend gespecialiseerd oncologisch zorgprogramma voor borstkanker;;;;dienst voor geriatrie;geriatrisch consult;;;;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;;Ziekenhuisbloedbank;;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
026;SS;2070;ALGEMEEN ZIEKENHUIS ST. -MAARTEN;ZWARTZUSTERSVEST;ZWARTZUSTERSVEST 47;2800;MECHELEN;015/29.66.66;;N;V;Antwerpen;Mechelen;;;60;20;;;3;4;25;48;;;;;;30;;;;;;;;;;;;;;190;;;;Medische Beeldvorming met scanner;;;;;X;;;;;X;;;;;;;;;Zorgprogramma oncologische basiszorg;;;;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;;;Lokale neonatale zorgen;;;;;Ziekenhuisbloedbank;;Chirurgische daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
032;SP;1840;ALGEMEEN ZIEKENHUIS ALMA;EEKLO;MOEIE 18;9900;EEKLO;09/376.04.11;www.azalma.be;N;V;Oost-Vlaanderen;Gent - Eeklo;Algemeen ziekenhuis;Privaat;;;;75;;60;26;50;;;;;;20;;;;;;;;;;;;;;231;451;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;X (1);;;;X;;;;;X;;;;;;;;;Zorgprogramma oncologische basiszorg;;;;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);Ziekenhuisbloedbank;Palliatieve zorgen;Chirurgische daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
032;SS;3400;ALGEMEEN ZIEKENHUIS ALMA;SIJSELE;GENTSE STEENWEG 132;8340;SIJSELE-DAMME;050/72.81.11;;N;V;West-Vlaanderen;Brugge;;;;;;63;;62;;50;;;;;;;;;20;25;;;;;;;;;;220;;;;Medische Beeldvorming met scanner;;;;;X;;;;;X;;;;;;;;;Zorgprogramma oncologische basiszorg;;;;;dienst voor geriatrie;geriatrisch consult;;;;;;;;Gespecialiseerde Spoedgevallenzorg;;Ziekenhuisbloedbank;;Chirurgische daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
037;SP;2321;ISoSL- CLINIQUES DE SOINS SPECIALISES VALDOR - PERI;VALDOR;RUE BASSE- WEZ 145;4020;LIEGE;04/341.78.11;www.isosl.be;F;W;Liège;Liège;Hôpital gériatrique;Public;;;;;;;;159;;;;;;;;;31;31;8;;;;;;;;;229;486;;Officine Hospitalière;Imagerie médicale avec scanner (association avec C.H.R. de la Citadelle - Liège);;;;;;;;;;;;;;;;;;;Programme de soins de base en oncologie;;;;;Service de gériatrique;;;;;;;;;;;;Soins Palliatifs;;;;;;;;;;
037;SS;2330;ISoSL- CLINIQUES DE SOINS SPECIALISES VALDOR - PERI;PERI;MONTAGNE STE.-WALBURGE 4BIS;4000;LIEGE;04/225.87.11;;F;W;Liège;Liège;;;;;;;;;;;;;;;;;;;;56;;;141;60;;;;;;257;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Centre d'expertise pour les patients comateux (5 lits);;
038;SP;2340;ZIEKENHUIS SCHEUTBOS;;GELUKKIGE GRIJSHEIDSTRAAT 1;1080;BRUSSEL--8;02/482.49.49;www.psychogeriatrie.be;N;B;Brussel-Bruxelles;Bruxelles - Brussel;Hôpital gériatrique;Privaat - Privé;;;;;;;;91;;;;;;;;;;;;;29;;;;;;;120;;;Ziekenhuisapotheek - Officine Hospitaliere;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ombudsfunctie - Fonction de médiateur;;;;;;
039;SP;3280;C.H.U. MONT-GODINNE - DINANT;MONT-GODINNE;AVENUE DR. G.THERASSE 1;5530;MONT-GODINNE;081/42.21.11;www.chudinantgodinne.be;F;W;Namen;Namur - Dinant;Hôpital général à caractère universitaire;Privé;;;;147;22;172;15;24;;;;;;;;;20;;;;;;;;;;;400;;;Officine Hospitaliere;Imagerie médicale avec scanner ;X (1);Scanner Pet;;;X;X;;;X;X;;;;;X;;;Programme de soins d'oncologie;;;;;Programme de soins pour enfants (en association avec la Clinique Maternité Ste. Elisabeth, Namur Agr/166);;;;;;Soins Intensifs;;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR);Banque de sang hospitalière;Soins Palliatifs;Hospitalisation Chirurgicale de jour;;Coordination locale des donneurs;;;;;;;
042;SP;2990;CENTRE HOSPITALIER DU BOIS DE L'ABBAYE ET DE HESBAYE;SERAING;RUE LAPLACE 40;4100;SERAING;04/338.70.00;www.chbah.be;F;W;Liège;Liège;Hôpital général à caractère universitaire;Public;;;;121;12;119;15;48;;;;;;27;;20;;;;;;;;;;;;362;462;;Officine Hospitaliere;Imagerie médicale avec scanner;X (1);;;Centre de dialyse;X;;;;X;X;;;;;;;;Programme de soins d'oncologie;;;;;Programme de soins pour enfants;;;;;;Soins Intensifs;Soins néonatals locaux;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR) exploité en alternance avec Cliniques St. Joseph (site Espérance) - Montegnée;;Soins Palliatifs;Hospitalisation Chirurgicale de Jour;Hospitalisation non chirurgicale de jour;;;;;;;;
042;SS;3000;CENTRE HOSPITALIER DU BOIS DE L'ABBAYE ET DE HESBAYE;JOSEPH WAUTERS - WAREMME;AVENUE DE LA RESISTANCE 2;4300;WAREMME;019/33.80.00;;F;W;Liège;Huy - Waremme;;;;;;;39;;;30;;;;;;;;;25;;6;;;;;;;;;100;;;;Imagerie médicale avec scanner;;;;;;;;;;;;;;;;;;;Programme de soins de base en oncologie;;;;;;;;;;;;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR) exploité en alternance avec Cliniques St. Joseph (site Notre-Dame) - Waremme;;;Hospitalisation chirurgicale de jour;;;;;;;;;
