agr;site_type;numero_de_site;hopital;site;adresse;post;commune;telefon;website;region;langue;province;reseau_hospitalier;type_hopital;statut;a;a_j;a_n;b;c;cd;d;e;g;ib_ptca_plus18;k;k_j;k_n;l;m;nic;s1;s2;s3;s4;s5;s6;t;t_j;t_n;tfb;tfp;tg;nombre_total_de_lits_et_ou_de_places_par_site;nombre_total_de_lits_et_ou_places_par_l_hopital;remarques;imagerie_medicale_imagerie_medicale_avec_scanner;imagerie_medicale_resonance_magnetique_nucleaire_rmn;imagerie_medicale_scanner-pet;radiotherapie;centre_de_dialyse;centre_de_transplantation;centre_pour_la_reproduction_humaine;centre_de_traitement_de_grands_brules;programme_de_soins_pathologie_cardiaque;programme_de_soins_pathologie_cardiaque.1;programme_de_soins_pathologie_cardiaque.2;programme_de_soins_pathologie_cardiaque.3;programme_de_soins_pathologie_cardiaque.4;programme_de_soins_pathologie_cardiaque.5;programme_de_soins_pathologie_cardiaque.6;collaboration_ou_association_concernant_programme_de_soins_pathologie_cardiaque;programmes_des_soins_soins_de_l_accident_vasculaire_cerebral_avc_programme_de_soins_de_base_soins_de_l_avc_aigu_s1;programmes_des_soins_soins_de_l_accident_vasculaire_cerebral_avc_programme_de_soins_specialise_soins_de_l_avc_impliquant_des_procedures_invasives_s2;programme_de_soins_medecine_de_la_reproduction;programme_de_soins_medecine_de_la_reproduction.1;association_concernant_du_programme_de_soins_medecine_de_la_reproduction;programme_de_soins_de_base_en_oncologie;programme_de_soins_d_oncologie;programme_coordinateur_de_soins_oncologiques_specialise_pour_le_cancer_du_sein;programme_de_soins_oncologiques_specialise_pour_le_cancer_du_sein_clinique_du_sein_satellite;programme_de_soins_specialise_en_hemato-oncologie_pediatrique;programme_de_soins_pour_enfants;programme_de_soins_pour_le_patient_geriatrique_service_de_gériatrique;programme_de_soins_pour_le_patient_geriatrique_consultation_gériatrique;programme_de_soins_pour_le_patient_geriatrique_l_hôpital_de_jour_pour_le_patient_gériatrique;programme_de_soins_pour_le_patient_geriatrique_liaison_interne;programme_de_soins_pour_le_patient_geriatrique_liaison_externe;association_programme_de_soins_pour_le_patient_gériatrique;officine_hospitaliere;officine_hospitaliere.1;soins_intensifs;coordination_locale_des_donateurs;banque_de_sang_hospitaliere;soins_neonatals_locaux_nx;soins_perinatals_regionaux;liaison_pediatrique;premiere_prise_en_charge_des_urgences;soins_urgents_specialises;smur;association_concernant_smur;soins_palliatifs;hospitalisation_chirurgical_de_jour;hospitalisation_non_chirurgical_de_jour;maladies_rares;fonction_de_mediation;centre_d_expertise_pour_les_patients_comateux;centre_d_expertise_pour_les_patients_comateux.1
010;SS;3180;GRAND HOPITAL DE CHARLEROI;IMTR;RUE DE VILLERS 1;6280;LOVERVAL;071/10.21.11;;W;;Hainaut;;;;;;;;79;;3;;30;;;;;;;;;50;;12;;;;;;;;;174;;;X;;;;;;;X;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;X;;;;X;;;;;
010;SS;3190;GRAND HOPITAL DE CHARLEROI;SAINTE-THERESE;RUE TRIEU KAISIN 134;6061;MONTIGNIES-SUR-SAMBRE;071/10.21.11;;W;;Hainaut;;;;45;27;;;;6;;;107;;;;;;;;;;;;;30;;;;;;;215;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;X;X;;;;
012;SP;3460;AZ SINT - BLASIUS;DENDERMONDE;KROONVELDLAAN 50;9200;DENDERMONDE;052/25.20.11;www.azsintblasius.be;V;N;Oost-Vlaanderen;MIRA Vzw;Algemeen ziekenhuis;Privaat;30;8;;;119;;100;26;81;;;;;;48;;;20;;6;;;;;;;;;438;438;;X;X (1);"Associatie met ""PET Centrum Zuidoost-Vlaanderen"" (E. 126)";;X;;;;X;;;;;X;;;;;;;;;X;X;;;X;X;X;X;X;X;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;
012;SS;3480;AZ SINT - BLASIUS;ZELE;KOEVLIET 6;9240;ZELE;052/45.64.00;;V;;Oost-Vlaanderen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;X ;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;
015;SP;2850;ST.-NIKOLAUS HOSPITAL;;HUFENGASSE 4-8;4700;EUPEN;087/59.95.99;www.hospital-eupen.be;W;F;Lüttich;;Allgemein krankenhaus;Privé;;;;;51;22;50;13;24;;;;;;12;;;20;;;;;;;;;;;192;;;X;X (1);;;X;Association avec CHU de Liège (A/707);;;X;;;;;X;;;X;;;;;;X;;;;X;X;;;;;;X;;X;;X;X;;;;X;X;;X;X;;;X;;
017;SP;1605;AZ MARIA MIDDELARES;AZ MARIA MIDDELARES;BUITENRING SINT-DENIJS 30;9000;GENT;09/246.46.46;www.mariamiddelares.be;V;N;Oost-Vlaanderen;E17 Vzw;Algemeen ziekenhuis;Privaat;30;10;;;212;;126;20;84;;;;;;30;;;30;;;;;;;;;;;542;542;;X;X (1);;;X;;;;X;X;;;X;X;;;;;;;;;X;X;;;X;X;X;X;X;X;;X (geneesmiddelendepot gevestigd Moerstraat 48-50, 9031 Drongen);;X;X;X;X;;;;X;;Associatie met Universitair Ziekenhuis Gent (E. 670);X;X;X;;;;
017;SS;1850;AZ MARIA MIDDELARES;MEDISCH CENTRUM MARIA MIDDELARES;KLINIEKSTRAAT 27;9050;GENTBRUGGE;09/246.11.20;;V;;Oost-Vlaanderen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;
020;SP;3010;C.H.R. VERVIERS EAST BELGIUM;LA TOURELLE;RUE DU PARC 29;4800;VERVIERS;087/21.21.11;www.chrverviers.be;W;F;Liège;;Hôpital général;Public;;;;;94;42;113;30;72;;;;;;25;;;;;;;;;;;;;;376;436;;X;X (1);;X;X;Association avec CHU de Liège (A/707);;;X;;X;;X;X;;Les programmes partiels B1-B2 est utilisé en association avec CHU de Liège (A/707);;;;;;;X;X;;;X;X;;;;;;X;;X;X;X;X;;;;X;X;;X;X;;;;;
020;SS;3020;C.H.R. VERVIERS EAST BELGIUM;PELTZER;RUE DE LIEGE 107;4800;VERVIERS;087/21.21.11;;W;;Liège;;;;;;;;;;;;;;;;;;;;;30;30;;;;;;;;;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
023;SP;2860;CLINIQUE ANDRE RENARD;;RUE ANDRE RENARD 1;4040;HERSTAL;04/248.72.11;"www.cliniqueandrerenard;be";W;F;Liège;;Hôpital général;Privé;;;;;41;28;43;;48;;;;;;;;;;;;;;;;;;;;160;;;X;X (1);;;;Association avec CHU de Liège (A/707);;;X;;;;;X;;;;;;;;X;;;;;;X;;;;;;X;;X;X;;;;;;X;;;X;X;X;;;;
026;SP;6170;AZ SINT - MAARTEN;;LIERSESTEENWEG 435;2800;MECHELEN;015/89.10.10;www.azsintmaarten.be;V;N;Antwerpen;BRIANT Vzw;Algemeen ziekenhuis;Privaat;60;35;;;131;;131;19;132;;;20;;;45;;20;44;;6;;;;;;;;;643;;;X;X (1);Associatie met PET-CT Centrum Vesalius Bonheiden (E. 689);X;;;;;X;;X;;;X;;Deelprogramma B1-B2 wordt uitgebaat in associatie met Imeldaziekenhuis Bonheiden (E. 689);;;;;;;X;X;;;X;X;X;X;X;X;;X;Associatie met UPC Duffel (E. 970);X;X;X;X;;;;X;X;;X;X;X;;;;
032;SP;1845;AZ ALMA;;RINGLAAN 15;9900;EEKLO;09/310.00.00;www.azalma.be;V;N;Oost-Vlaanderen;KOM Netwerk Vzw;Algemeen ziekenhuis;Privaat;30;;;;96;;105;23;100;;;12;;;20;;;20;25;;;;;;;;;;431;;De 12 k(d)- plaatsen worden uitgebaat in functie van de associatie Kinder- & jeugdpsychiatrie regio Gent, Meetjesland en Zuid-Oost Vlaanderen.;X ;X (1);Associatie met PET-CT Centrum zorgregio Gent/Eeklo/Deinze (E. 290);;;;;;X;;;;;X;;;;;;;;;X;;X;;X;X;X;X;X;X;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;
037;SP;2321;ISOSL, CLINIQUES DE SOINS SPECIALISES VALDOR - PERI;HOPITAL VALDOR;RUE BASSE- WEZ 145;4020;LIEGE;04/341.78.11;www.isosl.be;W;F;Liège;;Hôpital général;Public;;;;;;;;;128;;;;;;;;;31;62;8;;;;;;;;;229;486;;X (Association avec CHR Citadelle à Liège A/412);;;;;;;;;;;;;;;;;;;;;X;;;;;;X;;;;;;X;;;;;;;;;;;;X;;;;;X (5 lits Sp- neuro);
037;SS;2330;ISOSL, CLINIQUES DE SOINS SPECIALISES VALDOR - PERI;HOPITAL PERI;MONTAGNE STE.-WALBURGE 4BIS;4000;LIEGE;04/225.87.11;;W;;Liège;;;;;;;;;;;;31;;;;;;;;;;25;;;141;60;;;;;;257;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
038;SP;2340;SILVA MEDICAL ;SCHEUTBOS;GELUKKIGE GRIJSHEIDSTRAAT 1;1080;BRUSSEL (SINT-JANS-MOLENBEEK);02/854.10.10;www.silva-medical.be;B;N-F;Brussel-Bruxelles;;Algemeen ziekenhuis - Hôpital général;Privaat - Privé;;;;;;;;;91;;;;;;;;;;;;;29;;;;;;;120;440;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;X;;;;X;;;;;;;;;;;;;;;;X;;
038;SS;2430;SILVA MEDICAL ;CLINIQUE BOIS DE LA PIERRE;CHAUSSEE DE NAMUR 201;1300;WAVRE;010/88.21.11;;W;F;Brabant Wallon;;;;;;;;;;;;;;;;;;;;32;127;28;6;31;;;;;;;;224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;
038;SS;2280;SILVA MEDICAL ;CLINIQUE FORET DE SOIGNES;CHEMIN DU SANATORIUM 1;1310;LA HULPE;02/352.61.11;;W;F;Brabant Wallon;;;;;;;;;;;;;;;;;;;;;;;;;;79;17;;;;;96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
039;SP;3280;CHU-UCL NAMUR;GODINNE;AVENUE DR. G.THERASSE 1;5530;MONT-GODINNE;081/42.21.11;www.chuuclnamur.be;W;F;Namen;;Hôpital général à caractère universitaire;Privé;30;;;;147;28;137;;24;;;;;;;;;20;;;;;;;;;;;386;;;X;X (1);X (1);;;Association avec Cliniques Universitaires Saint-Luc Bruxelles (A/403);;;X;X;;;X;X;;;;;X;;;;X;;X;;Association avec CHU-UCL Namur - Site Ste. Elisabeth Namur A/166;X;;;;;;X;;X;X;X;;;;;X;X;;X;X;;;;;
042;SP;2990;CENTRE HOSPITALIER BOIS DE L'ABBAYE;SERAING;RUE LAPLACE 40;4100;SERAING;04/338.70.00;www.chba.be;W;F;Liège;;Hôpital général à caractère universitaire;Public;;;;;100;12;92;15;58;;;;;;24;;20;;;;;;;;;;;;321;427;;X;X (1);;;X;;;;X;;;;;X;;;;;;;;;X;;;;X;X;;;;;;X;;X;;X;X;;;;X;X;Exploité en alternance avec Groupe Santé CHC, Site Clinique CHC Montlégia Liège (A/152);X;X;X;;;;
042;SS;3000;CENTRE HOSPITALIER BOIS DE L'ABBAYE;WAREMME;AVENUE DE LA RESISTANCE 2;4300;WAREMME;019/33.80.00;;W;;Liège;;;;;;;;;30;;;45;;;;;;;;;25;;6;;;;;;;;;106;;;X;;;;;;;;X;;;;;X;;;;;;;;X;;;;;;X;;;;;;;;;;;;;;;X;X;Exploité en alternance avec Groupe Santé CHC - Site Clinique CHC Waremme (A/152);;X;X;;;;
043;SP;1730;CLINIQUE SAINT PIERRE;;AVENUE REINE FABIOLA 9;1340;OTTIGNIES;010/43.72.11;www.cspo.be;W;F;Brabant Wallon;;Hôpital général;Privé;30;;;;126;15;149;26;49;;;;;;24;;;;;6;;;;;;;;;425;;;X;X (1);;Collaboration avec Cliniques Universitaires Saint-Luc Bruxelles (403);X;Association avec Cliniques Universitaires Saint-Luc Bruxelles (A/403);;;X;;X;;X;X;;Les programmes partiels B1-B2 est utilisé en association avec Cliniques Universitaires Saint-Luc Bruxelles (A/403);;;X;;;;X;X;;;X;X;;;;;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;
049;SP;1010;AZ SINT - JAN ;SINT- JAN ;RUDDERSHOVE 10;8000;BRUGGE;050/45.21.11;www.azsintjan.be;V;N;West-Vlaanderen;KOM Netwerk Vzw;Algemeen ziekenhuis met universitair karakter;Openbaar;50;18;;;214;;225;33;114;;;;;;38;15;;;20;;;;;;;;;;727;1182;;X ;X (2);X (1) (Associatie AZ Sint-Jan Brugge - AZ Delta Roeselare - AZ Groeninge Kortrijk);X;X;;;;X;X;;;X;X;;;;;;X;;;X;X;;;X;X;X;X;X;X;;X;;X;X;X;X;X;;;X;X;;X;X;X;;;;
049;SS;1020;AZ SINT - JAN ;SFX;SPAANSE LOSKAAI 1;8000;BRUGGE;050/47.04.70;;V;;West-Vlaanderen;;;;30;;;;;;;;30;;;;;;;;;40;;9;;30;;;;;;;139;;S4- bedden worden uitgebaat in associatie met AZ Sint-Lucas te Brugge (E. 140);;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;X (5 bedden);
049;SS;1930;AZ SINT - JAN ;HENRI SERRUYS;KAIROSTRAAT 84;8400;OOSTENDE;059/55.51.11;;V;;West-Vlaanderen;;;;30;10;;;67;;101;15;60;;;;;;13;;;;20;;;;;;;;;;316;;;X;;;;;;;;X;;;;X;X;;;;;;;;;X;;;;X;X;X;X;;;;;;X;X;;X;;;;X;X;Alternerende werking met AZ Damiaan Oostende (E. 525);;9----;X;;;;
057;SP;2700;JAN YPERMAN ZIEKENHUIS;IEPER;BRIEKESTRAAT 12;8900;IEPER;057/35.35.35;www.yperman.net;V;N;West-Vlaanderen;TRIaz Vzw;Algemeen ziekenhuis;Privaat;30;;;;114;;130;25;106;;;12;;;33;;;22;;6;;30;;;;;;;508;532;De 12 k(d)- plaatsen worden uitgebaat in associatie met Az Delta Roeselare (E. 117) en Kliniek St. Jozef Pittem (E. 901). De 12 k(d)- plaatsen zijn tijdelijk gelokaliseerd in het PZ H. Hart Ieper (E. 961);X;X (1);;;X;;;;X;;X;;;X;;Deelprogramma B1-B2 wordt uitgebaat in associatie met het globale zorgprogramma B3 van het AZ Delta Roeselare (E. 117);;;;;;;X;X;;;X;X;X;X;X;X;;X;;X;X;X;X;;;;X;X;;X;X;X;;;;
057;SS;1120;JAN YPERMAN ZIEKENHUIS;POPERINGE;OOSTLAAN 11;8970;POPERINGE;057/35.72.50;;V;;West-Vlaanderen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;
057;SS;3530;JAN YPERMAN ZIEKENHUIS;WERVIK;STEENAKKER 30;8940;WERVIK;057/35.62.40;;V;;West-Vlaanderen;;;;;;;;;;;;;;;;;;;;;24;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
063;SP;1280;AZ TURNHOUT;SINT-ELISABETH;RUBENSSTRAAT 166;2300;TURNHOUT;014/40.60.11;www.azturnhout.be;V;N;Antwerpen;KEMPEN Vzw;Algemeen ziekenhuis;Privaat;;;;;76;;190;;48;;;;;;;;;;20;8;;;;;;;;;342;647;;X;X (1);;X;;;;;X;;X;;;X;;Deelprogramma B1-B2 wordt uitgebaat in associatie met het globale zorgprogramma B3 van UZ leuven (E. 322);;;;;;;X;X;;;;X;X;X;X;X;;X (Magazijn gevestigd Tieblokkenlaan 4A, 2300 Turnhout);;X;X;X;;;;;X;X;;X;X;X;;;;
063;SS;2100;AZ TURNHOUT;SINT-JOZEF;STEENWEG OP MERKSPLAS 44;2300;TURNHOUT;014/40.60.11;;;;;;;;38;7;;;53;;32;40;50;;;;;;65;;;20;;;;;;;;;;;305;;;X;;;;X;;;;;;;;;X;;;;;;;;X;;;;;X;X;X;;;;;;;;;X;X;;;;X;;;;X;X;;;;
068;SP;2870;CENTRE HOSPITALIER REGIONAL DE HUY;;RUE DES TROIS PONTS 2;4500;HUY;085/27.21.11;www.chrh.be;W;F;Liège;;Hôpital général à caractère universitaire;Public;30;;;;77;20;97;26;45;;;;;;22;;;;;;;;;;;;;;317;;;X;X (1);;;X;Association avec CHU de Liège (A/707);;;X;;;;X;X;;;;;;;;;X;;;;X;X;;;;;;X;;X;X;X;X;;;;X;X;;X;X;X;;X;;
076;SP;1520;CHU SAINT-PIERRE / UMC SINT-PIETER;PORTE DE HAL / HALLEPOORT;RUE AUX LAINES 105 ;1000;BRUXELLES;02/535.31.11;www.stpierre-bru.be;B;F-N;Brussel-Bruxelles;;A.Z. met univ. karakter - Hôpital général à caractère univ.;Openbaar - Public;30;;;10;89;;111;40;50;;;;;30;60;15;;;;6;;;;;;;;;441;592;;X;X (1);;;;Association avec Hôpital Erasme Bruxelles (A/406);;;X;X;;;X;X;;B3 = association avec CHU Brugmann Bruxelles (A/077);X;;;X;;;X;X;;;X;;;;;;;X;;X;X;X;X;X;;;X;X;;X;X;X;;X;;
076;SS;1500;CHU SAINT-PIERRE / UMC SINT-PIETER;CESAR DE PAEPE;RUE DES ALEXIENS 13;1000;BRUXELLES;02/506.71.11;;B;;Brussel-Bruxelles;;;;;;;;;;;;27;;;;;;;;26;24;;;;74;;;;;;;151;;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;X;;;;;;;;;;;;;;;;;;;X;X;;X;;
