erk;campus_type;vestigingsnr;ziekenhuis;campus;adres;post;gemeente;telefoon;website;taal;gewest;provincie;ziekenhuisregio;soort_ziekenhuis;statuut;a;a1;a2;c;cd;d;e;g;ib_sga_volw;k;k1;k2;l;m;nic;s1;s2;s3;s4;s5;s6;t;t1;t2;tfb;tfp;tg;totaal_bedden;fusie-capaciteit;opmerkingen;ziekenhuisapotheek;medische_beeldvorming_met_scanner;magnetische_resonantie_tomograaf_nmr;pet_scanner;radiotherapie;dialysecentrum;zorgprogramma_cardiale_pathologie;zorgprogramma_reproductieve_geneeskunde_type_a-b;zorgprogramma_oncologie;zorgprogramma_oncologische_basiszorg;gespecialiseerd_oncologisch_zorgpr_voor_borstkanker;zorgprogramma_voor_kinderen;zorgprogramma_voor_de_geriatrische_patient_dienst_voor_geriatrie;zorgprogramma_voor_de_geriatrische_patient_geriatrisch_consult;zorgprogramma_voor_de_geriatrische_patient_dagziekenhuis_voor_de_geriatrische_patiënt;zorgprogramma_voor_de_geriatrische_patient_interne_liaison;zorgprogramma_voor_de_geriatrische_patient_externe_liaison;intensieve_zorg;lokale_neonatale_zorgen_nx;regionale_perinatale_zorg_px;pediatrische_liaison;spoedgevallen;mug;ziekenhuisbloedbank;palliatieve_zorg;chirurgische_daghospitalisatie;niet_chirurgische_daghospitalisatie;lokale_donorcoordinatie;ombudsfunctie;transplantatiecentrum;centrum_voor_menselijke_erfelijkheid;centrum_voor_zware_brandwonden;expertisecentrum_voor_comapatienten;mucoviscidosecentrum;dienst_anatomopathologie
009;SS;1190;ZIEKENHUISNETWERK ANTWERPEN;ZNA ST. ERASMUS;LT. LIPPENSLAAN 55;2140;BORGERHOUT;03/270.80.11;;N;V;Antwerpen;Antwerpen;Algemeen ziekenhuis met universitair karakter;;60;;;39;;38;;;;;;;;26;;;;;12;;;;;;;;;175;;;;Medische Beeldvorming met scanner;;;;;Zorgprogramma cardiale pathologie A;;Zorgprogramma oncologie;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker;;dienst voor geriatrie;geriatrisch consult;;;;;Lokale neonatale zorgen;;;;;;;Chirurgische Daghospitalisatie;;;;;;;;;
009;SS;1200;ZIEKENHUISNETWERK ANTWERPEN;ZNA ST. ELISABETH;LEOPOLDSTRAAT 26;2000;ANTWERPEN-1;03/234.41.11;;N;V;Antwerpen;Antwerpen;Algemeen ziekenhuis met universitair karakter;;;;;;;;;127;;;;;;;;;88;;;;27;;;;;;;242;;;;Medische Beeldvorming met scanner;;;;;;;;Zorgprogramma oncologische basiszorg;;;dienst voor geriatrie;geriatrisch consult;;;;;;;;;;;;;;;;;;;;;
009;SS;3360;ZIEKENHUISNETWERK ANTWERPEN;ZNA JAN PALFIJN;LANGE BREMSTRAAT 70;2170;MERKSEM;03/640.21.11;;N;V;Antwerpen;Antwerpen;Algemeen ziekenhuis met universitair karakter;;;;;120;;90;22;58;;;;;;24;;;;;;;24;;;;;;;338;;;;Medische Beeldvorming met scanner;;;;;Zorgprogramma cardiale pathologie A en P;;Zorgprogramma oncologie;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Associatie mbt. de gezamelijke exploitatie van de functie Mobiele Urgentiegroep (MUG) via alternerende werking met A.Z. Klina te Brasschaat;Ziekenhuisbloedbank;;Chirurgische daghospitalisatie;;Lokale donorcoördinatie;;;;;;;
010;SP;3100;GRAND HOPITAL DE CHARLEROI;NOTRE DAME;GRAND'RUE 3;6000;CHARLEROI;071/10.21.11;www.ghdc.be;F;W;Hainaut;Charleroi;Hôpital général;Privé;30;;;104;6;54;39;25;;;;;;69;18;;;;;;;;;;;;;345;1154;;Officine Hospitaliere;Imagerie médicale avec scanner;Imagerie médicale tomographe à resonance magnetique (RMN) (2) ;;;;Programme de soins pathologie cardiaque A et P ;Programme de soins médecine de la reproduction B;Programme de soins d'oncologie;;Programme de soins oncologiques spécialisé pour le cancer du sein;Programme de soins pour enfants;;;;;;Soins Intensifs;Soins néonatals locaux ;Soins Périnatals Régionaux;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR) exploité en alternance avec C.H.U. de Charleroi (site Charleroi);Banque de sang hospitalière;Soins Palliatifs;Hospitalisation Chirurgicale de Jour;;;;;;;;;
010;SS;3110;GRAND HOPITAL DE CHARLEROI;REINE FABIOLA;AVENUE DU CENTENAIRE 73;6061;MONTIGNIES-SUR-SAMBRE;071/10.21.11;;F;W;Hainaut;Charleroi;Hôpital général;;;;;107;;61;;24;;;;;;;;;26;;;;;;;;;;;218;;;;;;;;;Programme de soins pathologie cardiaque A et P;;;Programme de soins de base en oncologie;;;;;;;;Soins Intensifs;;;;Soins Urgents Spécialisés;;;;Hospitalsation Chirurgicale de Jour;;;;;;;;;
010;SS;3170;GRAND HOPITAL DE CHARLEROI;ST. JOSEPH;RUE DE LA DUCHERE 6;6060;GILLY;071/10.70.11;;F;W;Hainaut;Charleroi;Hôpital général;;;;;87;21;127;;;;;;;;;;;;;;;;;;;;;;235;;;;Imagerie médicale avec scanner ;Imagerie médicale tomographe à resonance magnetique (RMN);;Radiothérapie;Centre de dialyse;Programme de soins pathologie cardiaque A, B, E et P;;;Programme de soins de base en oncologie;;;;;;;;Soins Intensifs;;;;Soins Urgents Spécialisés;;Banque de sang hospitalière;Soins Palliatifs;;;;;;;Centre de traitement de grands brûlés;;;
010;SS;3180;GRAND HOPITAL DE CHARLEROI;I.M.T.R.;RUE DE VILLERS 1;6280;LOVERVAL;071/10.63.11;;F;W;Hainaut;Charleroi;Hôpital général;;;;;40;;30;;30;;;;;;;;;24;;12;;;;;;;;;136;;;;;;;;;;;;Programme de soins de base en oncologie;;;;;;;;;;;;Soins Urgents Spécialisés;;;;;;;;;;;;;
010;SS;3190;GRAND HOPITAL DE CHARLEROI;STE.-THERESE;RUE TRIEU KAISIN 134;6061;MONTIGNIES-SUR-SAMBRE;071/10.90.11;;F;W;Hainaut;Charleroi;Hôpital général;;63;15;;;20;30;;32;;;;;;;;;;;;;30;;;;;;;190;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hospitalisation chirurgicale de jour;;;;;;;;;
010;SS;4010;GRAND HOPITAL DE CHARLEROI;C.P. DE JOUR CHARLES-ALBERT FRERE;RUE DE NALINNES 650;6001;MARCINELLE;071/43.16.89;;F;W;Hainaut;Charleroi;Hôpital général;;;;;;;;;;;;30;;;;;;;;;;;;;;;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
012;SP;3460;ALGEMEEN ZIEKENHUIS ST. BLASIUS;ST. BLASIUS;KROONVELDLAAN 50;9200;DENDERMONDE;052/25.20.11;www.azsintblasius.be;N;V;Oost-Vlaanderen;Dendermonde;Algemeen ziekenhuis;Privaat;30;;;128;;100;26;48;;;;;;48;;;;;;;;;;;;;;380;439;;Ziekenhuisapotheek;Medische Beeldvorming met scanner (2);Medische beeldvorming met magnetische resonantie tomograaf (NMR);;;Dialysecentrum;Zorgprogramma cardiale pathologie A en P;;Zorgprogramma oncologie;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
012;SS;3470;ALGEMEEN ZIEKENHUIS ST. BLASIUS;GERIATRIE, REVALIDATIE & PALLIATIEVE ZORGEN;KOEVLIET 5;9240;ZELE;052/45.64.00;;N;V;Oost-Vlaanderen;Dendermonde;Algemeen ziekenhuis;;;;;;;;;33;;;;;;;;;20;;6;;;;;;;;;59;;;;;;;;;;;;Zorgprogramma oncologische basiszorg;;;dienst voor geriatrie;geriatrisch consult;;;;;;;;;;;;Chirurgische daghospitalisatie;;;;;;;;;
012;SS;3480;ALGEMEEN ZIEKENHUIS ST. BLASIUS;DAGZIEKENHUIS & POLIKLINIEK;KOEVLIET 6;9240;ZELE;052/45.64.00;;N;V;Oost-Vlaanderen;Dendermonde;Algemeen ziekenhuis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Medische beeldvorming met scanner (1);;;;;;;;Zorgprogramma oncologische basiszorg;;;;;;;;;;;;;;;;;Niet- chirurgische daghospitalisatie;;;;;;;;
015;SP;2850;ST.-NIKOLAUS HOSPITAL;;HUFENGASSE 4-8;4700;EUPEN;087/59.95.99;www.st-nikolaushospital-eupen.be;F;W;Lüttich;Verviers;Allgemein krankenhaus;Privé;;;;51;22;50;13;24;;;;;;12;;;20;;;;;;;;;;;192;;;Officine Hospitaliere;Imagerie médicale avec scanner;;;;Centre de dialyse;Programme de soins pathologie cardiaque A et P;;Programme de soins d'oncolgie;;;Programme de soins pour enfants;;;;;;Soins Intensifs;;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR);Bangue de sang hospitalière;Soins Palliatifs;Hospitalisation Chirurgicale de Jour;;;Service de médiation;;;;;;
017;SP;1600;ALGEMEEN ZIEKENHUIS MARIA MIDDELARES;MARIA MIDDELARES;KORTRIJKSESTEENWEG 1026;9000;GENT;09/260.60.60;www.azmmsj.be;N;V;Oost-Vlaanderen;Gent - Eeklo;Algemeen ziekenhuis;Privaat;30;;;189;;111;20;24;;;;;;30;;;;;;;;;;;;;;404;554;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;Medische beeldvorming met magnetische resonantie tomograaf (NMR);;;Dialysecentrum;Zorgprogramma cardiale pathologie A, B, E en P ;;Zorgprogramma oncologie;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;;Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;;Lokale donorcoördinatie;;;;;;;
017;SS;1850;ALGEMEEN ZIEKENHUIS MARIA MIDDELARES;ST. JOZEF;KLINIEKSTRAAT 27-29;9050;GENTBRUGGE;09/260.60.60;;N;V;Oost-Vlaanderen;Gent - Eeklo;Algemeen ziekenhuis;;;;;62;;38;;50;;;;;;;;;;;;;;;;;;;;150;;;;Medische Beeldvorming met scanner;;;;;;;;Zorgprogramma oncologische basiszorg;;;dienst voor geriatrie;geriatrisch consult;;;;;;;;Eerste opvang van Spoedgevallen;;Ziekenhuisbloedbank;;Chirurgische Daghospitalisatie;;;;;;;;;
020;SP;3010;CENTRE HOSPITALIER  PELTZER - LA TOURELLE;LA TOURELLE;RUE DU PARC 29;4800;VERVIERS;087/21.21.11;www.chplt.be;F;W;Liège;Verviers;Hôpital général;Public;;;;118;42;148;33;60;;;;;;25;;;;;;;;;;;;;;426;486;;Officine Hospitaliere;Imagerie médicale avec scanner ;Imagerie médicale tomographe à resonance magnetique (RMN);;Radiothérapie;Centre de dialyse;"Programme de soins pathologie cardiaque A, B1, E et P (B1 = collaboration avec C.H.U. de Liège ""Sart-Tilman"" - Liège)";;Programme de soins d'oncologie;;Programme de soins oncologiques spécialisé pour le cancer du sein;Programme de soins pour enfants;;;;;;Soins Intensifs;Soins néonatals locaux;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR);Banque de sang hospitalière;Soins Palliatifs;;;;;;;;;;
020;SS;3020;CENTRE HOSPITALIER  PELTZER - LA TOURELLE;PELTZER;AVENUE PELTZER 36;4800;VERVIERS;087/21.21.11;;F;W;Liège;Verviers;Hôpital général ;;;;;;;;;;;;;;;;;;30;30;;;;;;;;;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hospitalisation chirurgical de jour;;;;;;;;;
023;SP;2860;CLINIQUE ANDRE RENARD;;RUE ANDRE RENARD 1;4040;HERSTAL;04/248.72.11;;F;W;Liège;Liège;Hôpital général;Privé;;;;41;28;43;;48;;;;;;;;;;;;;;;;;;;;160;;;Officine Hospitalière;Imagerie médicale avec scanner;;;;;Programme de soins pathologie cardiaque A et P;;;Programme de soins de base en oncologie;;;dienst voor geriatrie;;;;;Soins Intensifs;;;;Soins Urgents Spécialisés;;;Soins Palliatifs;Hospitalisation Chirurgicale de Jour;;;;;;;;;
026;SP;1230;ALGEMEEN ZIEKENHUIS ST.- MAARTEN;LEOPOLDSTRAAT;LEOPOLDSTRAAT 2;2800;MECHELEN;015/40.95.11;www.azsintmaarten.be;N;V;Antwerpen;Mechelen;Algemeen ziekenhuis;Privaat;;;;58;;66;;54;;;;;;;;;;;6;;;;;;;;;184;660;;Associatie m.b.t. de gezamelijke exploitatie van de functie ziekenhuisapotheek met het Psychiatrisch Ziekenhuis, Stationsstraat 22C te 2570 Duffel;Medische Beeldvorming met scanner;Medische beeldvorming met magnetische resonantie tomograaf (NMR);;;;Zorgprogramma cardiale pathologie A ;;;Zorgprogramma oncologische basiszorg;;;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;;;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG) ;Ziekenhuisbloedbank;Palliatieve Zorgen;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
026;SS;1240;ALGEMEEN ZIEKENHUIS ST. -MAARTEN;ROOIENBERG;ROOIENBERG 25;2570;DUFFEL;015/30.31.11;;N;V;Antwerpen;Mechelen;Algemeen ziekenhuis;;;15;;73;;66;;30;;;;;;15;;20;44;;;;;;;;;;;263;;;;Medische Beeldvorming met scanner;;;Radiotherapie;;Zorgprogramma cardiale pathologie A en P;;Zorgprogramma oncologie;;Gespecialiseerd oncologisch zorgprogramma voor borstkanker;;dienst voor geriatrie;geriatrisch consult;;;;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;;Ziekenhuisbloedbank;;Chirurgische Daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
026;SS;2070;ALGEMEEN ZIEKENHUIS ST. -MAARTEN;ZWARTZUSTERSVEST;ZWARTZUSTERSVEST 47;2800;MECHELEN;015/29.66.66;;N;V;Antwerpen;Mechelen;Algemeen ziekenhuis;;60;20;;15;;15;25;48;;;;;;30;;;;;;;;;;;;;;213;;;;Medische Beeldvorming met scanner;;;;;Zorgprogramma cardiale pathologie A en P;;;Zorgprogramma oncologische basiszorg;;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;;;Lokale neonatale zorgen;;;;;Ziekenhuisbloedbank;;Chirurgische daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
032;SP;1840;ALGEMEEN ZIEKENHUIS ALMA;EEKLO;MOEIE 18;9900;EEKLO;09/376.04.11;www.azalma.be;N;V;Oost-Vlaanderen;Gent - Eeklo;Algemeen ziekenhuis;Privaat;;;;75;;60;26;50;;;;;;20;;;;;;;;;;;;;;231;451;;Ziekenhuisapotheek;Medische Beeldvorming met scanner;Medische beeldvorming met magnetische resonantie tomograaf (NMR);;;;Zorgprogramma cardiale pathologie A en P;;;Zorgprogramma oncologische basiszorg;;Zorgprogramma voor kinderen;dienst voor geriatrie;geriatrisch consult;;;externe liaison;Intensieve Zorgen;Lokale neonatale zorgen;;;Gespecialiseerde Spoedgevallenzorg;Mobiele Urgentiegroep (MUG);Ziekenhuisbloedbank;Palliatieve zorgen;Chirurgische daghospitalisatie;Niet- chirurgische daghospitalisatie;Lokale donorcoördinatie;;;;;;;
032;SS;3400;ALGEMEEN ZIEKENHUIS ALMA;SIJSELE;GENTSE STEENWEG 132;8340;SIJSELE-DAMME;050/72.81.11;;N;V;West-Vlaanderen;Brugge;Algemeen ziekenhuis;;;;;63;;62;;50;;;;;;;;;20;25;;;;;;;;;;220;;;;Medische Beeldvorming met scanner;;;;;Zorgprogramma cardiale pathologie A en P;;;Zorgprogramma oncologische basiszorg;;;dienst voor geriatrie;geriatrisch consult;;;;;;;;Gespecialiseerde Spoedgevallenzorg;;Ziekenhuisbloedbank;;Chirurgische daghospitalisatie;Niet- chirurgische daghospitalisatie;;;;;;;;
037;SP;2320;ISoSL- CLINIQUES DE SOINS SPECIALISES VALDOR - PERI;VALDOR;RUE BASSE- WEZ 301;4020;LIEGE;04/341.78.11;www.isosl.be;F;W;Liège;Liège;Hôpital gériatrique;Public;;;;;;;;159;;;;;;;;;31;31;8;;;;;;;;;229;486;;Officine Hospitalière;Imagerie médicale avec scanner (association avec C.H.R. de la Citadelle - Liège);;;;;;;;Programme de soins de base en oncologie;;;Service de gériatrique;;;;;;;;;;;;Soins Palliatifs;;;;;;;;;;
037;SS;2330;ISoSL- CLINIQUES DE SOINS SPECIALISES VALDOR - PERI;PERI;MONTAGNE STE.-WALBURGE 4BIS;4000;LIEGE;04/225.87.11;;F;W;Liège;Liège;Hôpital gériatrique;;;;;;;;;;;;;;;;;;;56;;;141;60;;;;;;257;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Centre d'expertise pour les patients comateux (5 lits);;
038;SP;2340;ZIEKENHUIS SCHEUTBOS;;GELUKKIGE GRIJSHEIDSTRAAT 1;1080;BRUSSEL--8;02/482.49.49;www.psychogeriatrie.be;N;B;Brussel-Bruxelles;Bruxelles - Brussel;Hôpital gériatrique;Privaat - Privé;;;;;;;;91;;;;;;;;;;;;;29;;;;;;;120;;;Ziekenhuisapotheek - Officine Hospitaliere;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ombudsfunctie - Fonction de médiateur;;;;;;
039;SP;3280;CLINIQUES UNIVERSITAIRES (U.C.L.);;AVENUE DR. G.THERASSE 1;5530;MONT-GODINNE;081/42.21.11;www.uclmontgodinne.be;F;W;Namen;Namur - Dinant;Hôpital général à caractère universitaire;Privé;;;;122;22;167;15;24;;;;;;;;;20;;;;;;;;;;;370;;;Officine Hospitaliere;Imagerie médicale avec scanner ;Imagerie médicale tomographe à resonance magnetique (RMN);Scanner Pet;;;Programme de soins pathologie cardiaque A, B, E et P;Programme de soins médecine de la reproduction A;Programme de soins d'oncologie;;;Programme de soins pour enfants;;;;;;Soins Intensifs;;;;Soins Urgents Spécialisés;Service mobile d'urgence (SMUR);Banque de sang hospitalière;Soins Palliatifs;Hospitalisation Chirurgicale de jour;;;;;;;;;
